Sygnatura czasowa,Adres e-mail,Where are you coming from to us? / Skąd do nas przyjedziesz?,First name / Imię,Last name / Nazwisko,Phone number / numer telefonu,I choose / wybieram,I sign up as a / zapisuję się jako,Name of the partner if you are singing up as a pair / imię partnera/partnerki jeśli zapisujesz się w parze,I sign up for level* / zapisuję się na poziom*,I sign up for level* / zapisuję się na poziom*,"T-shirt
If you don't want a T-shirt, skip this section ... but remember, that somewhere a unicorn will weep
Jeśli nie chcesz koszulki, pomiń tą sekcję... ale pamiętaj, że gdzieś na świecie zaszlocha jakiś jednorożec

Price: 12 Euro / Cena: 50 zł","""Female""/""male"" / model 'damski' lub 'męski'",Size / Rozmiar,"To finish your registration, you need to accept the regulations (linked below). Aby zakończyć rejestrację konieczna jest akceptacja regulaminu.","If you want to tell us something nice/prepare a performance/have an offer, this is the perfect spot to write it down ;)
Jeśli chcesz nam powiedzieć coś miłego/przygotować perfo/masz jakąś propozycję... daj nam znać tu"
2023-04-01 21:37:53,upwzzkp@gmail.com,Łódź,xsomkia,nekihol,558273165,Lindy Hop Pass,Lead,,Lindy hop intermediate/advanced,,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,
2023-04-01 21:38:03,dwklpot@gmail.com,Warszawa,utdsvbo,sbmnltb,416499368,Lindy Hop Pass,Lead,prcdfps,Lindy hop advanced,,I want a t-shirt/ Chcę koszulkę,"""male"" / ""męski""",L,I accept,
2023-04-01 21:38:13,phhkeig@gmail.com,Wrocław,emfiixo,maklepo,497577267,Lindy Hop Pass,Lead,,Lindy hop intermediate,,I want a t-shirt/ Chcę koszulkę,"""male"" / ""męski""",L,I accept,
2023-04-01 21:38:23,qavtvjl@gmail.com,Poznan,lebsjdw,kjtxqvp,173728398,Lindy Hop Pass,Lead,,Lindy hop advanced,,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,
2023-04-01 21:38:37,coympty@gmail.com,Kielce,cldchju,dwrxkpt,227841379,Lindy Hop Pass,Follow,cziulwl,Lindy hop intermediate/advanced,,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,
2023-04-01 21:39:17,hwpdxib@gmail.com,ŁDZ ,wesbqkm,ozcgkjl,441426319,Lindy Hop Pass,Follow,,Lindy hop intermediate/advanced,,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,pzfpcqn
2023-04-01 21:39:52,rnvshzw@gmail.com,Kielce,zkkceih,htdquzl,221557796,Lindy Hop Pass,Lead,cjkgvaa,Lindy hop intermediate,,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,
2023-04-01 21:40:00,wkaknlg@gmail.com,Pl UĆ,rcgrfat,ynazfdv,288519363,Lindy Hop Pass,Lead,,Lindy hop advanced,,I want a t-shirt/ Chcę koszulkę,"""male"" / ""męski""",Xxxl,I accept,
2023-04-01 21:40:26,gjziriz@gmail.com,Warszawa,glbvyru,dkblbhj,393289696,Full Pass aka KOXu Pass,Follow,fqiazcq,Lindy hop advanced,,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,iuadvri
2023-04-01 21:41:28,ejiidix@gmail.com,Wrocław,bivbbjd,txoactm,265966414,Lindy Hop Pass,Follow,,Lindy hop intermediate/advanced,,I do not want a t-shirt/ Nie chcę koszulki,,,I accept,
